"Date","Value"
"05/14/2007",3.069
"05/21/2007",3.211
"05/28/2007",3.195
"06/04/2007",3.132
"06/11/2007",3.04
"06/18/2007",2.974
"06/25/2007",2.951
"07/02/2007",2.933
"07/09/2007",2.971
"07/16/2007",3.046
"07/23/2007",2.938
"07/30/2007",2.849
"08/06/2007",2.816
"08/13/2007",2.752
"08/20/2007",2.783
"08/27/2007",2.756
"09/03/2007",2.818
"09/10/2007",2.84
"09/17/2007",2.792
"09/24/2007",2.816
"10/01/2007",2.784
"10/08/2007",2.761
"10/15/2007",2.746
"10/22/2007",2.806
"10/29/2007",2.859
"11/05/2007",3.007
"11/12/2007",3.101
"11/19/2007",3.077
"11/26/2007",3.072
"12/03/2007",3.029
"12/10/2007",2.957
"12/17/2007",2.962
"12/24/2007",2.943
"12/31/2007",3.028
"01/07/2008",3.088
"01/14/2008",3.041
"01/21/2008",2.991
"01/28/2008",2.953
"02/04/2008",2.966
"02/11/2008",2.947
"02/18/2008",3.035
"02/25/2008",3.115
"03/03/2008",3.137
"03/10/2008",3.2
"03/17/2008",3.257
"03/24/2008",3.224
"03/31/2008",3.259
"04/07/2008",3.299
"04/14/2008",3.35
"04/21/2008",3.467
"04/28/2008",3.566
"05/05/2008",3.571
"05/12/2008",3.694
"05/19/2008",3.762
"05/26/2008",3.913
"06/02/2008",3.932
"06/09/2008",3.979
"06/16/2008",4.007
"06/23/2008",4.002
"06/30/2008",4.027
"07/07/2008",4.051
"07/14/2008",4.054
"07/21/2008",4.005
"07/28/2008",3.896
"08/04/2008",3.828
"08/11/2008",3.764
"08/18/2008",3.706
"08/25/2008",3.66
"09/01/2008",3.667
"09/08/2008",3.637
"09/15/2008",3.867
"09/22/2008",3.732
"09/29/2008",3.644
"10/06/2008",3.485
"10/13/2008",3.109
"10/20/2008",2.855
"10/27/2008",2.589
"11/03/2008",2.34
"11/10/2008",2.17
"11/17/2008",2.027
"11/24/2008",1.857
"12/01/2008",1.79
"12/08/2008",1.681
"12/15/2008",1.648
"12/22/2008",1.635
"12/29/2008",1.59
"01/05/2009",1.672
"01/12/2009",1.772
"01/19/2009",1.832
"01/26/2009",1.813
"02/02/2009",1.871
"02/09/2009",1.897
"02/16/2009",1.931
"02/23/2009",1.868
"03/02/2009",1.91
